ranking,username,categories,engagement,engagement_activity,followers,following,total_posts,channel_associated_on_bio,time_on_app_years,latest_post,post_type,likes_per_post,comments_per_post,partnership_posts,date_post
15,@mirella,Marketing and Advertising',4.3,8.137162562,20300000,1499,771,1,10,1,caroussel,797000,5685,1,8/11/2022
15,@mirella,Marketing and Advertising',4.3,8.137162562,20300000,1499,771,1,10,2,video,450000,3145,1,8/11/2022
15,@mirella,Marketing and Advertising',4.3,8.137162562,20300000,1499,771,1,10,3,video,394000,2014,0,7/11/2022
16,@caiocastro,"Art', 'Surfing', 'Actors'",0.2,0.258636816,20100000,566,1981,1,11,1,video,28600,325,0,6/11/2022
16,@caiocastro,"Art', 'Surfing', 'Actors'",0.2,0.258636816,20100000,566,1981,1,11,2,video,6125,86,1,2/11/2022
16,@caiocastro,"Art', 'Surfing', 'Actors'",0.2,0.258636816,20100000,566,1981,1,11,3,picture,16600,250,1,27/10/2022
17,@rafaavitti,"Actors', 'Celebrities', 'Animals & Pets', 'Technology'",0.63,1.218181347,19300000,2299,2980,0,0,1,caroussel,6512,47,0,8/11/2022
17,@rafaavitti,"Actors', 'Celebrities', 'Animals & Pets', 'Technology'",0.63,1.218181347,19300000,2299,2980,0,0,2,caroussel,193000,737,0,8/11/2022
17,@rafaavitti,"Actors', 'Celebrities', 'Animals & Pets', 'Technology'",0.63,1.218181347,19300000,2299,2980,0,0,3,video,34700,113,0,8/11/2022
18,@kjapa,Actors',6.9,3.593815789,19000000,540,28,0,0,1,picture,280000,361,0,6/11/2022
18,@kjapa,Actors',6.9,3.593815789,19000000,540,28,0,0,2,picture,128000,161,1,21/10/2022
18,@kjapa,Actors',6.9,3.593815789,19000000,540,28,0,0,3,picture,274000,303,1,8/10/2022
19,@marimaria,"Beauty', 'Art', 'Styling', 'Artist'",1.6,7.993005263,19000000,1095,3209,1,0,1,video,61400,321,1,8/11/2022
19,@marimaria,"Beauty', 'Art', 'Styling', 'Artist'",1.6,7.993005263,19000000,1095,3209,1,0,2,caroussel,1100000,2072,0,7/11/2022
19,@marimaria,"Beauty', 'Art', 'Styling', 'Artist'",1.6,7.993005263,19000000,1095,3209,1,0,3,video,353000,1878,0,6/11/2022
20,@camilaqueiroz,"Art', 'Actors'",0.3,3.832154255,18800000,1101,1946,0,11,1,caroussel,183000,753,0,8/11/2022
20,@camilaqueiroz,"Art', 'Actors'",0.3,3.832154255,18800000,1101,1946,0,11,2,caroussel,336000,1012,0,7/11/2022
20,@camilaqueiroz,"Art', 'Actors'",0.3,3.832154255,18800000,1101,1946,0,11,3,caroussel,199000,680,0,6/11/2022
21,@luvadepedreiro,"Comedy', 'Humor'",9.13,17.04899462,18600000,374,15,1,1,1,video,188000,1913,1,8/11/2022
21,@luvadepedreiro,"Comedy', 'Humor'",9.13,17.04899462,18600000,374,15,1,1,2,video,1700000,31000,1,6/11/2022
21,@luvadepedreiro,"Comedy', 'Humor'",9.13,17.04899462,18600000,374,15,1,1,3,video,1200000,50200,1,3/11/2022
22,@flaviapavanelli,"Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities'",0.8,0.652271739,18400000,1917,3098,0,10,1,picture,25300,312,0,7/11/2022
22,@flaviapavanelli,"Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities'",0.8,0.652271739,18400000,1917,3098,0,10,2,caroussel,23500,355,1,2/11/2022
22,@flaviapavanelli,"Marketing and Advertising', 'Lifestyle', 'Actors', 'Celebrities'",0.8,0.652271739,18400000,1917,3098,0,10,3,caroussel,70100,451,0,29/10/2022
23,@lexa,"Music', 'Singer', 'Celebrities', 'Film, Music & Books'",0.23,1.473038674,18100000,1330,7905,1,0,1,caroussel,163000,907,1,8/11/2022
23,@lexa,"Music', 'Singer', 'Celebrities', 'Film, Music & Books'",0.23,1.473038674,18100000,1330,7905,1,0,2,video,64200,610,0,6/11/2022
23,@lexa,"Music', 'Singer', 'Celebrities', 'Film, Music & Books'",0.23,1.473038674,18100000,1330,7905,1,0,3,video,37600,303,1,6/11/2022
24,@jujusalimeni,"Art', 'Modeling'",0.2,2.45247093,17200000,1013,9728,1,11,1,caroussel,108000,952,0,8/11/2022
24,@jujusalimeni,"Art', 'Modeling'",0.2,2.45247093,17200000,1013,9728,1,11,2,caroussel,211000,873,0,7/11/2022
24,@jujusalimeni,"Art', 'Modeling'",0.2,2.45247093,17200000,1013,9728,1,11,3,video,101000,0,1,4/11/2022
25,@cocielo,"Celebrity', 'Actors', 'Comedy', 'Humor'",2.4,10.39694643,16800000,1913,1917,1,0,1,caroussel,445000,2835,0,8/11/2022
25,@cocielo,"Celebrity', 'Actors', 'Comedy', 'Humor'",2.4,10.39694643,16800000,1913,1917,1,0,2,picture,596000,2896,0,7/11/2022
25,@cocielo,"Celebrity', 'Actors', 'Comedy', 'Humor'",2.4,10.39694643,16800000,1913,1917,1,0,3,video,697000,2956,1,29/10/2022
26,@taina,"Marketing and Advertising', 'Modeling'",3.07,8.371391304,16100000,1920,953,1,0,1,caroussel,486000,2373,0,7/11/2022
26,@taina,"Marketing and Advertising', 'Modeling'",3.07,8.371391304,16100000,1920,953,1,0,2,video,212000,2127,0,26/10/2022
26,@taina,"Marketing and Advertising', 'Modeling'",3.07,8.371391304,16100000,1920,953,1,0,3,caroussel,642000,3294,0,23/10/2022
27,@leonardo,Music',1,6.198685535,15900000,147,2288,1,10,1,video,10700,226,1,8/11/2022
27,@leonardo,Music',1,6.198685535,15900000,147,2288,1,10,2,video,874000,29800,0,27/10/2022
27,@leonardo,Music',1,6.198685535,15900000,147,2288,1,10,3,video,69900,965,0,26/10/2022
28,@andressasuita,"Modeling', 'Celebrities', 'Animals & Pets', 'Fashion'",2.19,4.037955414,15700000,1805,3453,1,10,1,picture,505000,3084,0,6/11/2022
28,@andressasuita,"Modeling', 'Celebrities', 'Animals & Pets', 'Fashion'",2.19,4.037955414,15700000,1805,3453,1,10,2,video,34500,763,1,24/10/2022
28,@andressasuita,"Modeling', 'Celebrities', 'Animals & Pets', 'Fashion'",2.19,4.037955414,15700000,1805,3453,1,10,3,caroussel,89900,712,0,24/10/2022
29,@gessicakayane,"Humor', 'Celebrities', 'Animals & Pets'",2,5.637967105,15200000,854,2783,0,10,1,video,351000,4043,0,6/11/2022
29,@gessicakayane,"Humor', 'Celebrities', 'Animals & Pets'",2,5.637967105,15200000,854,2783,0,10,2,video,401000,2538,0,3/11/2022
