ranking,username,alias,categories,engagement,followers,following,total_posts,latest_post,post_type,likes_per_post,comments_per_post,partnership_posts,channel_associated_on_bio,subscription_date,content
17,@tirullipa,tirullipa,['Humor'],0.5,21.4,,,,,,,,,,
18,@fernandasouzaoficial,fernandasouzaoficial,"['Art', 'Singer', 'Actors', 'Music']",0.4,21.7,,,,,,,,,,
19,@brunogagliasso,brunogagliasso,"['Celebrity', 'Actors', 'Celebrities', 'Humor']",0.18,21.7,,,,,,,,,,
20,@pefabiodemelo,pefabiodemelo,['Lifestyle'],1,22.1,,,,,,,,,,
21,@rafakalimann,rafakalimann,['Modeling'],1,22.4,,,,,,,,,,
22,@viihtube,viihtube,"['Art', 'Modeling', 'Lifestyle', 'Celebrities', 'Humor', 'Game', 'Cars & Motorcycles']",2.39,24.6,,,,,,,,,,
23,@gioewbank,gioewbank,"['Celebrity', 'Modeling', 'Actors']",4,25.7,,,,,,,,,,
24,@kevinho,kevinho,"['Art', 'Music', 'Singer']",0.15,28,,,,,,,,,,
25,@juliette,juliette,['Artist'],0.8,33.8,,,,,,,,,,
26,@virginia,virginia,"['Art', 'Modeling', 'Humor', 'Celebrities', 'Film, Music & Books', 'Animals & Pets', 'Artist']",2.5,38.6,,,,,,,,,,
27,@larissamanoela,larissamanoela,"['Celebrity', 'Art', 'Music', 'Actors']",0.2,45.7,,,,,,,,,,
28,@tatawerneck,tatawerneck,"['Actors', 'Artist']",0.4,53,,,,,,,,,,
29,@whinderssonnunes,whinderssonnunes,"['Celebrity', 'Comedy', 'Comedian']",0.7,58.4,,,,,,,,,,
30,@anitta,anitta,"['Art', 'Music', 'Singer']",0.7,63.3,,,,,,,,,,
